time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/clip_fraction,train/value_loss,train/n_updates,train/std,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
16541,188416,92,11,22.38,-56.03805955000001,0.00038509056,0.01751302142511122,166.42382125854493,910,0.3131867051124573,0.39122599363327026,-0.5156071722507477,0.017868195,80.83451080322266,-0.004172527597984299,0.3,,
16749,190464,93,11,22.9,-53.9194622,0.00038492672,0.06802083476795814,135.642423248291,920,0.3129956126213074,0.3661370277404785,-0.515164253115654,0.022061992,72.47058868408203,-0.006049148064921605,0.3,,
16936,192512,94,11,26.1,-59.93592755,0.00038476288,0.036692709085764365,133.19950904846192,930,0.31290778517723083,0.33931803703308105,-0.5141449868679047,0.02028232,64.62298583984375,-0.003351449907931947,0.3,,
17135,194560,95,11,24.28,-61.95769746999999,0.00038459904,0.00690104179084301,158.94817047119142,940,0.31302928924560547,0.687382698059082,-0.514135730266571,0.010147406,76.03052520751953,-0.0030529257866146243,0.3,,
17318,196608,96,11,23.87,-46.99539396,0.0003844352,0.0,143.1207420349121,950,0.3132055401802063,0.38355952501296997,-0.5153017699718475,0.00054638967,73.63407897949219,0.0005186823897747606,0.3,,
17549,198656,97,11,22.23,-50.24856392000001,0.00038427136,0.01957031303609256,149.32631454467773,960,0.3131576478481293,0.34530675411224365,-0.5158182322978974,0.013716279,75.69281768798828,-0.003086195381474699,0.3,,
,200000,,,,,0.00038410752000000005,0.0002213541738456115,152.47105178833007,970,0.3130803108215332,0.35965126752853394,-0.5152648955583572,0.0028090123,77.0757064819336,-0.000926476183994962,0.3,-27.188305006176233,26.0
17767,200704,98,11,23.04,-49.17186794,,,,,,,,,,,,,
17967,202752,99,11,24.53,-66.70683841,0.00038394368000000003,0.0,142.22996368408204,980,0.313109815120697,0.4070776700973511,-0.5150752097368241,0.0012440678,74.2511978149414,-0.00022606690892643667,0.3,,
18155,204800,100,11,24.21,-62.18079811000001,0.00038377984,0.004179687611758709,162.1916931152344,990,0.3132767975330353,0.7845385670661926,-0.5157039344310761,0.008128177,70.06907653808594,-0.0020124317672525647,0.3,,
